kicid,num_peaks,peak_id,accept_bic,accept_time,channel,skygroup,module,output,quarter,season,chunk,t0,s2n,bkg,depth,depth_ivar,transit_ror,transit_duration,transit_time,chunk_min_time,chunk_max_time,centroid_offset,centroid_offset_err,lnlike_gp,lnlike_outlier,lnlike_box1,lnlike_box2,lnlike_step,lnlike_transit,bic_gp,bic_outlier,bic_box1,bic_box2,bic_step,bic_transit
4450472,2,0,True,True,69,69,20,1,12,2,49,1114.7285208284072,87.55478009592923,2.277563369036918,0.002163818172755113,1917083141.1111715,0.03214261251826515,1.0388701607727358,1114.7703747573091,1105.7219227945607,1116.6537185294874,6.054742326810475e-05,6.85588981114658e-05,3657.9547040235443,3657.9065078922927,3658.2457369377735,3659.168731600937,3675.5916875501975,3676.1915952897434,3645.5254878267,3642.3699876462374,3639.6019126425067,3640.5249073056702,3644.5186470580866,3651.3331628960545
4450472,2,1,False,True,9,69,4,1,5,3,17,466.8695092127013,62.052925450051006,2.0289128334164337,0.001515266013749475,1677060461.7365239,0.02693707626164291,1.5889036705743167,466.9365179296705,461.1049024324675,472.6299854789395,0.0007798155257347021,0.0001641753602627217,3682.7897652444426,nan,3683.053720270435,nan,3690.226013699363,3692.579087453419,3670.3605490475984,nan,3664.409895975168,nan,3659.152973207252,3667.7206550597302
3218908,1,0,True,True,71,71,20,3,8,2,34,766.6153102783002,75.27886814167833,0.8306761590975974,0.004479750914030801,304705815.69373447,0.06653975724801614,0.886813755505282,766.6769381095229,763.7653102783006,777.3129476762406,0.00017034222132450457,0.0001524468948378045,3182.170673314656,3182.441537958686,3214.570177653498,3236.7640230736647,3194.059160732889,3291.9923749720947,3169.741457117812,3166.9050177126305,3195.926353358231,3218.120198778398,3162.986120240778,3267.133942578406
10321319,1,0,True,True,73,9,22,1,6,0,20,554.3203340091997,28.48528229783128,1.051041995143517,0.0003455324881040236,6796155133.039807,0.01841090996743201,0.6870475278789717,554.3501652870843,548.3999506191685,560.2311194175782,9.740764419583254e-05,3.3964808105531204e-05,3991.1267641610325,3990.9292633046284,4015.432076351024,3998.5794458918904,4007.327707902652,4037.258944451406,3978.6975479641883,3975.392743058573,3996.7882520557573,3979.9356215966236,3976.254667410541,4012.400512057717
5438845,2,0,True,True,57,65,17,1,11,1,45,1074.2094177501342,171.32159147038053,2.1708703314248776,0.01006995391845622,479062364.30851704,0.08042156855839015,0.6065694196381514,1074.1639004505241,1072.5594177501334,1084.267407145242,0.009289013715795227,3.148060468049642e-05,2535.1322335609466,2535.263438962062,2535.534962872878,2540.3796938478354,2526.860716686778,2558.4390897710578,2522.7030173641024,2519.726918716007,2516.8911385776114,2521.7358695525686,2495.787676194667,2533.580657377369
5438845,2,1,False,True,65,65,19,1,16,2,73,1527.793150239558,65.10057454846147,2.034258904337529,0.003794286030762085,487228101.52263767,0.031417458873109934,1.452007398577033,1527.86158062233,1526.1431502395571,1536.8710075257113,0.00016289612834877867,9.74507403581921e-07,nan,nan,3173.8220031004753,nan,nan,3176.629843230245,nan,nan,3155.1781788052085,nan,nan,3151.7714108365562
3239945,2,0,True,True,83,83,24,3,16,2,74,1491.5381628522111,404.2631538668472,1.1431826742593143,0.01663067028466874,637649229.1458416,0.13421371269711418,0.6845992723679591,1491.5194184552142,1488.6881628522096,1498.026171288213,0.0009441998850904499,0.00011958205447474792,2490.9912866412587,2491.040947012615,2497.381109677355,2534.7104035011375,2481.1903847209305,2771.8095303692835,2478.978580322055,2476.025064113611,2479.36205019855,2516.6913440223325,2451.158618922922,2747.7841177308765
3239945,2,1,True,True,83,83,24,3,4,2,18,420.35867322820894,390.8219503857976,0.9973786500885462,0.0150614555573581,673371477.6314557,0.1276507522393655,0.6841863823341688,420.28650907438714,414.575577997879,426.1616866994882,0.0013266935806678147,0.00010411720248736655,3146.66788087509,3146.6698828117487,3158.829801391946,3179.330564585034,2828.6555760585507,3488.8466677292836,3134.2386646782456,3131.1333625656935,3140.1859770966794,3160.6867402897674,2797.5825355664397,3463.9882353355947
9730194,1,0,True,True,80,36,23,4,5,3,21,445.5689879856274,803.4212122033558,0.564080074566891,0.07835302044136419,174019502.20319846,0.26424381560373755,1.1577424853810412,445.6311804745321,443.9189879856276,455.68905294103024,0.006972779514661588,0.00013366109249157834,2967.3858673109253,2964.5517998063797,2967.677806556988,3004.6355660992017,2026.1004889253572,3173.937638521443,2954.956651114081,2949.0152795603244,2949.033982261721,2985.991741803935,1995.0274484332463,3149.0792061277543
9306307,1,0,True,True,83,55,24,3,13,3,57,1191.3970356317707,632.2480977827793,19.865128754185044,0.023300675338035585,757426102.6945597,0.2229449157743924,0.3610682261969528,1191.3563980157564,1187.9470356317688,1198.7975665826161,0.00033942471738107887,9.459755574288418e-05,2834.3287840394564,2832.044807799629,2841.046442078908,2842.4618363933796,-6937.649902563546,3351.4420871886123,2821.899567842612,2816.5082875535736,2822.4026177836413,2823.818012098113,-6968.722943055656,3326.5836547949234
8800954,2,0,True,True,20,28,7,4,5,3,18,492.7879385523241,113.53186872864295,0.975166349133028,0.002494713220623853,2071067876.726266,0.05067929972697468,0.6642015654443533,492.7669108581146,487.3633660470441,498.1935649487277,0.0002566412190636787,7.986633349906017e-05,3620.4445516359974,3620.4417912431486,3644.649548687116,3706.463422716444,3613.545595661285,3802.9599977825987,3608.015335439153,3604.9052709970933,3626.005724391849,3687.819598421177,3582.472555169174,3778.10156538891
8800954,2,1,True,True,20,28,7,4,13,3,60,1196.9481288078803,93.91878368230145,0.7460178630544061,0.002494787694936911,1417225386.569358,0.05129269989239194,0.6627597880287021,1196.9665941857108,1191.1563131264556,1202.6812763890339,7.376500231282246e-05,2.040727711077396e-05,3592.0845866399463,3592.0177668270285,3603.4250604655563,3657.2235549473417,3601.3071478588918,3786.4208529566104,3579.655370443102,3576.481246580973,3584.7812361702895,3638.579730652075,3570.234107366781,3761.5624205629215
10287723,1,0,True,True,34,34,11,2,4,2,14,393.61408682696793,34.391560934596114,0.7514857228180056,0.0008814438025810976,1548808366.1918771,0.03607598316222922,0.36849374633454707,393.6010562565961,385.4583496945779,396.8192956202038,0.00016225446769778815,7.501878063619912e-05,3621.6272033951154,3621.8370609411977,3701.233820861094,3633.9245407312355,3668.923857087865,3725.2850722164253,3609.197987198271,3606.3005406951424,3682.5899965658273,3615.2807164359688,3637.850816595754,3700.4266398227364
