time,num_points,sect_id,mean_factor,factor_1,factor_2,channel,skygroup,module,output,quarter,season,nn_sect_id,nn_ntt,nn_transit_time,nn_q1,nn_q2,nn_period,nn_t0,nn_rp,nn_b,nn_e,nn_pomega,nn_channel,nn_skygroup,nn_module,nn_output,nn_quarter,nn_season,kicid
433.416091,1.0,21.0,1.316967535562075,1.631108400398673,1.002826670725476,34.0,34.0,11.0,2.0,4.0,2.0,7.0,102.0,233.477696653812,,,,,,,,,50.0,34.0,15.0,2.0,2.0,0.0,10744768.0
1530.924913,1.0,88.0,1.4170863213888434,1.8333308540231767,1.0008417887545096,34.0,34.0,11.0,2.0,16.0,2.0,87.0,284.0,1510.5322322654465,,,,,,,,,34.0,34.0,11.0,2.0,16.0,2.0,10744768.0
1157.7665439999998,2.0,66.0,1.4454541439451316,1.7236511313092244,1.1672571565810388,34.0,34.0,11.0,2.0,12.0,2.0,2.0,142.0,156.03301763183845,,,,,,,,,78.0,34.0,23.0,2.0,1.0,3.0,10744768.0
1552.033027,11.0,86.0,2.4029940934531235,1.131170807166509,3.6748173797397374,35.0,35.0,11.0,3.0,16.0,2.0,62.0,107.0,1143.1973972691558,,,,,,,,,35.0,35.0,11.0,3.0,12.0,2.0,10747439.0
828.787219,1.0,40.0,1.082472220688101,1.0716562742611946,1.0932881671150074,14.0,10.0,6.0,2.0,9.0,3.0,15.0,784.0,432.4359426371084,,,,,,,,,10.0,10.0,4.0,2.0,4.0,2.0,9814980.0
863.156831,12.0,49.0,1.6273241650219008,2.2535482200328008,1.0011001100110009,77.0,33.0,23.0,1.0,9.0,3.0,48.0,105.0,853.1644080307451,,,,,,,,,77.0,33.0,23.0,1.0,9.0,3.0,9845949.0
465.80514500000004,3.0,21.0,1.5150039935823154,1.9426961729773617,1.0873118141872689,16.0,12.0,6.0,4.0,5.0,3.0,86.0,367.0,1391.6523819212964,,,,,,,,,72.0,12.0,20.0,4.0,15.0,1.0,10842861.0
1387.2394470000002,1.0,87.0,1.1099384852110965,1.0845628578709503,1.1353141125512425,27.0,19.0,9.0,3.0,15.0,1.0,26.0,101.0,535.5467252619857,0.9968257363865104,0.12517361737511626,2103.2414986698927,0.12575444157458096,0.05391539074587793,0.4938321354245338,0.0,0.0,59.0,19.0,17.0,3.0,5.0,3.0,10794878.0
480.537181,35.0,24.0,1.2630875992258903,1.1033512125950984,1.4228239858566822,79.0,35.0,23.0,3.0,5.0,3.0,0.0,174.0,124.09402378703815,,,,,,,,,79.0,35.0,23.0,3.0,0.0,3.0,10750270.0
490.672622,17.0,24.0,1.2078678302578338,1.092049042323343,1.3236866181923246,79.0,35.0,23.0,3.0,5.0,3.0,0.0,179.0,124.196195688608,,,,,,,,,79.0,35.0,23.0,3.0,0.0,3.0,10750270.0
