##
## Kepler Eclipsing Binary Catalog
## Revision Date (Y/M/D): March 30, 2015, 4:41 p.m.
## Download Date (Y/M/D): 
##
## Query String: 
##
#KIC,period,bjd0,morph,T2/T1,rho1+rho2,q,e_sin_omega,e_cos_omega,FF,sin_i,SC,
9239684,0.2618159,54964.791176,1.00,-999,-999,-999,-999,-999,-999,-999,False,
12004834,0.2623168,55002.041000,0.59,-999,-999,-999,-999,-999,-999,-999,True,
11284547,0.2624405,54964.538388,0.96,-999,-999,-999,-999,-999,-999,-999,False,
8045121,0.2631774,54953.761839,1.00,-999,-999,-999,-999,-999,-999,-999,False,
6106771,0.2638263,54964.616674,0.76,-999,-999,-999,-999,-999,-999,-999,False,
10557008,0.2654186,54964.640892,0.77,-999,-999,-999,-999,-999,-999,-999,False,
5785551,0.2666875,55002.019280,0.73,-999,-999,-999,-999,-999,-999,-999,False,
9388303,0.2667035,55002.002225,0.76,-999,-999,-999,-999,-999,-999,-999,False,
5773205,0.2668707,55000.123267,0.62,-999,-999,-999,-999,-999,-999,-999,False,
2437038,0.2676785,54964.981170,0.86,-999,-999,-999,-999,-999,-999,-999,False,
7269843,0.2682156,54964.567796,0.79,-999,-999,-999,-999,-999,-999,-999,False,
6072578,0.2696718,54862.142079,0.76,-999,-999,-999,-999,-999,-999,-999,False,
2435971,0.2718280,54964.815967,0.94,-999,-999,-999,-999,-999,-999,-999,False,
9026766,0.2721278,54964.846798,0.75,-999,-999,-999,-999,-999,-999,-999,False,
10802917,0.2724524,54999.905793,0.72,-999,-999,-999,-999,-999,-999,-999,False,
3832382,0.2726487,54964.603149,0.74,-999,-999,-999,-999,-999,-999,-999,False,
7697065,0.2727656,54964.749102,0.69,-999,-999,-999,-999,-999,-999,-999,False,
9760531,0.2727979,54953.908884,1.00,-999,-999,-999,-999,-999,-999,-999,True,
5956588,0.2729067,55001.906729,0.82,-999,-999,-999,-999,-999,-999,-999,False,
3743834,0.2736148,54964.543136,0.75,-999,-999,-999,-999,-999,-999,-999,True,
9935311,0.2737752,55001.844519,0.80,-999,-999,-999,-999,-999,-999,-999,False,
11704155,0.2738674,54953.607917,0.94,-999,-999,-999,-999,-999,-999,-999,False,
2448320,0.2741085,55002.065503,0.93,-999,-999,-999,-999,-999,-999,-999,False,
7335517,0.2745039,55001.920777,0.98,-999,-999,-999,-999,-999,-999,-999,True,
8739802,0.2745129,55001.999865,0.93,-999,-999,-999,-999,-999,-999,-999,False,
4385109,0.2746477,54964.668303,0.90,-999,-999,-999,-999,-999,-999,-999,False,
4563150,0.2747205,54964.771023,0.79,-999,-999,-999,-999,-999,-999,-999,False,
5104097,0.2753953,55000.036675,0.87,-999,-999,-999,-999,-999,-999,-999,False,
9772642,0.2754317,54953.634752,0.79,-999,-999,-999,-999,-999,-999,-999,False,
8624778,0.2762617,55000.117411,0.79,-999,-999,-999,-999,-999,-999,-999,False,
7680593,0.2763915,54964.781296,0.97,-999,-999,-999,-999,-999,-999,-999,False,
3853259,0.2766478,54964.781808,0.98,-999,-999,-999,-999,-999,-999,-999,False,
11566174,0.2768752,54964.604431,0.76,-999,-999,-999,-999,-999,-999,-999,False,
3354616,0.2769826,55000.188917,0.74,-999,-999,-999,-999,-999,-999,-999,False,
10074939,0.2770936,55063.305037,0.74,-999,-999,-999,-999,-999,-999,-999,False,
2570289,0.2790278,54964.579847,0.90,-999,-999,-999,-999,-999,-999,-999,False,
11246163,0.2792275,54964.563148,0.77,-999,-999,-999,-999,-999,-999,-999,False,
4476900,0.2796663,55000.145641,0.77,-999,-999,-999,-999,-999,-999,-999,False,
9508052,0.2799961,54964.652524,0.90,-999,-999,-999,-999,-999,-999,-999,False,
9357030,0.2804421,55001.917598,0.94,-999,-999,-999,-999,-999,-999,-999,False,
11352791,0.2805193,55000.165966,0.92,-999,-999,-999,-999,-999,-999,-999,False,
5786545,0.2805751,55001.987489,0.74,-999,-999,-999,-999,-999,-999,-999,False,
9272276,0.2806130,54953.700247,0.78,-999,-999,-999,-999,-999,-999,-999,False,
9527167,0.2808953,55002.154036,0.97,-999,-999,-999,-999,-999,-999,-999,False,
9179806,0.2809633,54964.812270,0.83,-999,-999,-999,-999,-999,-999,-999,False,
7272739,0.2811646,54964.852294,0.75,-999,-999,-999,-999,-999,-999,-999,True,
10600319,0.2815156,54964.869017,0.94,-999,-999,-999,-999,-999,-999,-999,False,
5218385,0.2815375,54964.580677,0.77,-999,-999,-999,-999,-999,-999,-999,False,
7269797,0.2817924,54964.708488,0.85,-999,-999,-999,-999,-999,-999,-999,False,
5891963,0.2819600,54949.819126,0.95,-999,-999,-999,-999,-999,-999,-999,False,
7199353,0.2819867,54964.814394,0.77,-999,-999,-999,-999,-999,-999,-999,False,
10350225,0.2820697,54964.827478,0.80,-999,-999,-999,-999,-999,-999,-999,False,
8626039,0.2828906,55000.053132,0.84,-999,-999,-999,-999,-999,-999,-999,False,
6267702,0.2831963,54999.950505,0.90,-999,-999,-999,-999,-999,-999,-999,False,
1433410,0.2832752,54999.951811,0.73,-999,-999,-999,-999,-999,-999,-999,False,
8242493,0.2832856,54964.621844,0.73,-999,-999,-999,-999,-999,-999,-999,False,
6929869,0.2836920,55000.097986,0.97,-999,-999,-999,-999,-999,-999,-999,False,
7440742,0.2839922,54949.928411,0.71,-999,-999,-999,-999,-999,-999,-999,False,
9533706,0.2841181,55002.123818,0.77,-999,-999,-999,-999,-999,-999,-999,False,
4241946,0.2843840,54999.914195,0.74,-999,-999,-999,-999,-999,-999,-999,False,
11405559,0.2849367,54964.844590,0.74,-999,-999,-999,-999,-999,-999,-999,False,
8677949,0.2849507,55001.953024,0.93,-999,-999,-999,-999,-999,-999,-999,False,
11036301,0.2852372,54964.716986,0.95,-999,-999,-999,-999,-999,-999,-999,False,
7367833,0.2861988,54964.863858,0.76,-999,-999,-999,-999,-999,-999,-999,False,
5459373,0.2866088,54964.670887,0.97,-999,-999,-999,-999,-999,-999,-999,False,
11444780,0.2867135,54964.589880,0.73,-999,-999,-999,-999,-999,-999,-999,False,
8280135,0.2868850,54964.799724,0.97,-999,-999,-999,-999,-999,-999,-999,False,
4073678,0.2882443,54927.892568,0.64,-999,-999,-999,-999,-999,-999,-999,False,
11341950,0.2883712,54964.806734,0.73,-999,-999,-999,-999,-999,-999,-999,False,
5699617,0.2889166,54964.792095,0.75,-999,-999,-999,-999,-999,-999,-999,False,
6467389,0.2889760,54953.687848,0.77,-999,-999,-999,-999,-999,-999,-999,False,
9882280,0.2890750,54964.879245,0.75,-999,-999,-999,-999,-999,-999,-999,False,
4758092,0.2891660,54964.779256,0.90,-999,-999,-999,-999,-999,-999,-999,False,
9664382,0.2907540,54999.947529,0.74,-999,-999,-999,-999,-999,-999,-999,False,
11295026,0.2908549,54953.889963,0.90,-999,-999,-999,-999,-999,-999,-999,False,
10322582,0.2912692,54964.562248,0.86,-999,-999,-999,-999,-999,-999,-999,False,
6128248,0.2917436,54964.750595,0.75,-999,-999,-999,-999,-999,-999,-999,False,
5008287,0.2918775,54964.561803,0.94,-999,-999,-999,-999,-999,-999,-999,False,
11135978,0.2920594,54953.929754,0.74,-999,-999,-999,-999,-999,-999,-999,False,
4661397,0.2923249,54964.698721,0.91,-999,-999,-999,-999,-999,-999,-999,False,
9995981,0.2932666,54964.847803,0.86,-999,-999,-999,-999,-999,-999,-999,False,
3730067,0.2940786,54964.887243,0.62,-999,-999,-999,-999,-999,-999,-999,True,
3454864,0.2941204,54964.782281,0.67,-999,-999,-999,-999,-999,-999,-999,False,
9145846,0.2944796,54964.702271,0.96,-999,-999,-999,-999,-999,-999,-999,False,
12153332,0.2946266,54953.871096,0.88,-999,-999,-999,-999,-999,-999,-999,False,
2302092,0.2946734,54964.698441,0.89,-999,-999,-999,-999,-999,-999,-999,False,
4950505,0.2948091,54964.865804,0.82,-999,-999,-999,-999,-999,-999,-999,False,
5543482,0.2948276,55000.187868,0.79,-999,-999,-999,-999,-999,-999,-999,False,
10123627,0.2949393,54964.807405,0.96,-999,-999,-999,-999,-999,-999,-999,False,
9665086,0.2965356,55000.079903,0.67,-999,-999,-999,-999,-999,-999,-999,False,
11244501,0.2966763,54953.815356,0.90,-999,-999,-999,-999,-999,-999,-999,True,
7884426,0.2967316,54964.674950,0.95,-999,-999,-999,-999,-999,-999,-999,False,
7740566,0.2970627,55113.456835,0.79,-999,-999,-999,-999,-999,-999,-999,False,
2715007,0.2971105,54964.782119,0.87,-999,-999,-999,-999,-999,-999,-999,False,
6471048,0.2972280,54953.685654,0.76,-999,-999,-999,-999,-999,-999,-999,False,
6046061,0.2972557,54919.454410,0.69,-999,-999,-999,-999,-999,-999,-999,False,
