kicid,pr_eb,pr_bg,pr_pl
11709124,0.0475419419323,0.00866650840766,0.94379154966
9306307,0.996226715377,0.00376362673968,9.65788319426e-06
10321319,0.000185135942532,0.000537178398697,0.999277685659
3239945,0.23251248037,0.0129726774341,0.754514842196
8410697,0.0284139541265,0.0122047569031,0.95938128897
10287723,0.0285859813384,0.0186655564494,0.952748462212
8426957,0.116390535833,0.0627390659216,0.820870398246
8738735,0.00292557553604,0.0215111945111,0.975563229953
6551440,0.0109382277973,0.0114614017495,0.977600370453
10602068,0.997911259132,0.00208873655434,4.31357029686e-09
10187159,0.0663745244884,0.0133284846914,0.92029699082
8800954,0.0208616734066,0.0187010920965,0.960437234497
3218908,0.0253182292339,0.0135055463683,0.961176224398
4754460,0.0200712422077,0.0186667735464,0.961261984246
10842718,0.05595734678,0.032365999828,0.911676653392
8505215,0.0176212365534,0.0203871284113,0.961991635035
