kicid,duration,duration_uncert_minus,duration_uncert_plus,period,period_uncert_minus,period_uncert_plus,radius,radius_uncert_minus,radius_uncert_plus,t0,t0_uncert_minus,t0_uncert_plus,teq,teq_uncert_minus,teq_uncert_plus
7971363,41.66603076051743,0.630806147881863,0.7007759365877462,9.555327966759958,5.287004903351677,18.76491028695868,2.0969708242034875,0.5185765925773314,0.5227084463329432,675.662043338506,0.009325886839519626,0.009376826373795666,147.64226222214697,56.518800647196244,61.97594995181555
11709124,17.733741924507196,0.43325458421633556,0.541360790803882,4.224694474730455,1.2836586061009667,4.6434057617801034,0.8276825288232192,0.11317070690700848,0.11882941631965549,657.2674176889242,0.001589030748505138,0.0017503492962305245,166.24735301159285,39.294472336798435,27.627603028075754
9306307,8.499718026287027,0.04222625612535147,0.043473956218027965,3.998940639556272,0.9279841347449151,2.669371047097001,1.2133754210033798,0.2681549851093744,0.4914973713787296,1191.3564867214054,0.0001779230906322482,0.00017822389145294437,130.9388345522351,30.24150398436248,27.48165615683172
10321319,16.839755668529513,0.37536519039909066,0.41615645989742234,5.522778004071003,2.1191869923105795,8.130125191698188,0.16317175439443737,0.03742505141799127,0.04627943721840319,554.3561686752128,0.006252969386650875,0.006388207753388997,152.67210939914392,46.96756560441362,36.62887572885526
3239945,16.20183296098645,0.07112823852856565,0.07712160273648294,2.932872069142283,2.6430797079868285e-06,2.6444617846621554e-06,0.8757941732891903,0.039185984753413616,0.03896045435891193,420.2871423742397,0.0006844935210210679,0.000694340664892934,142.7878155898402,4.258623953784706,4.2725224053056365
8410697,19.773909771296744,0.10544415721228617,0.11770401447599,2.868809717017432,5.395699737231752e-06,5.34717534872442e-06,0.7005161003294211,0.07583152898244883,0.11231428820142553,542.123092245704,0.001284389385546092,0.0013043202740163906,206.12168630199193,12.834987487995619,15.970339595031817
10287723,9.492575752468474,0.2967053293413695,0.33240269140326184,4.878759426154824,1.2516545558115908,4.296489587324709,0.26557025188376315,0.02409751309430591,0.02688991321415002,393.59761918814274,0.002904104269873642,0.0030633726011046747,113.70477449819268,21.530833948330056,13.10961367868876
8426957,39.339897554061565,1.4101993325405289,1.6201841496985523,54.423789269514685,36.0347113907398,94.2218767737238,1.0329319695551356,0.2570259935644921,0.3044287618626387,784.6774480072756,0.012831939713350948,0.012976823481494648,84.80856396944827,27.978401705077957,46.06463910068487
8738735,27.44100590896781,0.3763804540739635,0.6343081289663495,9.846772730400513,4.98311621862469,14.016077067526076,0.35465914503750134,0.04357886166652941,0.044795942353756446,697.8537549306936,0.004884864162136182,0.005933560664175275,136.631056581478,38.11105581083329,42.68637998623865
6551440,10.849948664853653,0.29793159523093315,0.37238309381711154,4.020863002679052,1.183618708977813,4.243471177239458,0.2819495995442511,0.08312258729587124,0.09284304291026302,1039.0589365309247,0.003704398098307138,0.0037411373900795297,170.22209318550935,45.35969467501721,38.28156384777702
10602068,12.791207305925923,0.09178245234840077,0.07435469683608176,3.0517123475607475,0.7446013829892149,2.318091659049828,2.1456871483215894,0.38572513456220237,0.48484635847165336,830.8089213688614,0.000149551838262596,0.00015111352308849746,163.4362041927213,30.780481989683096,25.304606965768784
10187159,11.806265533619325,0.20393695342371565,0.26532055353163386,4.888802666398014,1.7525143666405434,7.581156398631421,0.4344982169909439,0.13270178414600559,0.20852652101135422,604.1102000663758,0.0030811166571993454,0.0022604631221838645,119.17138789085301,42.88455486294093,34.266067454513276
8800954,15.761860812510571,0.12562765863822456,0.14056133663844506,1.927995729775648,9.114847228319789e-06,9.199183453656445e-06,0.3863592972690103,0.0251874744768531,0.024781905518498237,492.7652278118237,0.0023611415394384494,0.0023839794880018417,189.37174393682176,7.339664084702093,7.2431524047810285
3218908,21.44986914114793,0.6146392457862504,0.7150608540776204,6.962197690371124,3.3992290381791017,9.539374875680085,0.5142021999524464,0.09280198905025272,0.09187133325034491,766.6722451587698,0.011394867844614964,0.009602166810850576,128.50270142651658,38.6570874201479,41.44442138235203
4754460,15.920467835996005,0.5381426674751388,0.5522150813617426,5.889479399811295,2.9910364639550693,11.788555820002733,0.6743826825035631,0.14621173539637433,0.1592767908679753,826.8368809480284,0.004642183830696922,0.004570148642756067,170.48411636187353,64.02802292531229,59.54862304570446
10842718,35.908838158678705,0.3768832278543215,0.5045013445105795,12.885921148993479,6.7467542410549495,21.149580625977404,0.7388281303504255,0.15527858461226174,0.1544765724659224,226.23442797624384,0.004742671092941464,0.004650963836780875,127.38015984963553,43.17857506972362,47.19152402162811
8505215,20.05992427752951,0.1616194081124931,0.18028184580812479,9.107808295962922,3.39677351786122,9.535020144676658,0.2771321641420404,0.01701031221827448,0.017268826053026987,140.04916448978366,0.001758770520723374,0.0017437985283379476,102.68165262537316,22.53850966621583,19.068651954789786
