kicid,num_peaks,peak_id,accept_bic,accept_time,channel,skygroup,module,output,quarter,season,chunk,t0,s2n,bkg,depth,depth_ivar,transit_ror,transit_duration,transit_time,transit_depth,transit_impact,chunk_min_time,chunk_max_time,centroid_offset,centroid_offset_err,lnlike_gp,lnlike_outlier,lnlike_box1,lnlike_box2,lnlike_step,lnlike_transit,bic_gp,bic_outlier,bic_box1,bic_box2,bic_step,bic_transit,offset,accept_offset,accept_impact,accept
10322568,1,0,False,True,13,9,6,1,9,3,33,838.6868967691928,35.6581759867596,1.2953418519593622,0.0008116343960916621,1930403042.8907425,0.013963378179026905,0.9974653708421676,839.1818973279696,0.00021476154964727992,0.6301974889355794,833.2418819990271,844.1129271646569,5.196371402801118e-05,9.73281676675196e-05,3719.9408060616497,,3717.449220300307,,3716.3878748114894,3722.9023096293076,3707.511589864806,,3698.805396005041,,3685.3148343193775,3701.15118128483,0.24190808040632475,True,True,False
10395358,1,0,False,False,63,23,18,3,14,0,63,1304.5126929450114,59.46657011688427,2.3580183961469894,0.0036348346638063046,846908358.1795924,0.013689348883638923,2.1100955190037625,1305.334490253,0.00021419503388320216,0.5705016178983207,1296.4126929450067,1304.974490253,4.566007684901264e-05,0.0001271966070356505,,,2735.774846206513,,,2735.885116178237,,,2717.861060687142,,,2714.985699738971,0.21312490705175446,True,True,False
10399322,3,0,False,False,64,24,18,4,10,0,96,938.1032187933496,199.2930638555905,3.5880785836057907,0.005722436791619496,16768992387.94526,6.850896297178573e-05,1.5812902472113248,937.8533552124749,6.140902675255688e-09,0.0,937.8032187933496,948.4900789533713,0.00015604855582166188,7.114089211329025e-05,,,4209.855822891147,,4236.566007140521,4215.760322748179,,,4191.211998595881,,4205.49296664841,4194.009194403701,25411.338221035316,False,True,False
10399322,3,1,False,False,64,24,18,4,6,0,57,567.703383074452,109.01392399367408,0.8879998276811522,0.0030723194078781826,17406675163.157875,5.297504959262533e-07,1.85665233099056,567.7838168809677,3.672617765460018e-13,0.0,567.403383074452,577.8858967495253,0.0001069403408047689,0.00022066996966703105,,,4315.598149882623,,,4315.313487615561,,,4296.954325587357,,,4293.562359271084,291182877.26665914,False,True,False
10399322,3,2,False,True,64,24,18,4,10,0,97,999.0383693735187,66.33522706932503,2.6125844390464388,0.0006648521810367912,14893048198.676096,0.04391789267956076,0.06404613527227461,998.8495890968896,0.002441853893881296,0.2975057503766502,989.6022036866924,1000.2683176451536,0.0029965680122822844,0.00014112098928895886,3568.2193634932714,3565.2277833267967,3599.173383379895,3792.0683747999046,3554.244676205666,3699.3450374877502,3555.790147296427,3549.691263080741,3580.529559084628,3773.424550504639,3523.171635713555,3677.593909143272,1.2241726822819181,False,True,False
10336910,3,0,False,True,66,18,19,2,6,0,26,621.8685422544173,123.92489487443396,3.4924209462756632,0.003360359433131733,1360042577.1933699,0.00014202237180819982,0.6962755833896842,621.8487229678407,2.4956544164567163e-08,0.38444724280446013,616.5460246631555,627.1917178889997,0.00020334500905998427,5.5441036549282786e-05,3564.315371449754,,3560.7115274566554,,3564.677457487189,3564.2197882235114,3551.8861552529097,,3542.0677031613877,,3533.6044169950787,3542.468659879033,8147.963221362236,False,True,False
10336910,3,1,False,True,66,18,19,2,6,0,26,607.3185422544195,104.28932835478074,3.038608604226394,0.0028368576594800165,1351481132.141858,0.001144413584618991,0.6071201104552197,607.143763495375,1.6624344330029572e-06,0.2874586632444591,601.9770564962746,612.6637027200995,6.088082639789978e-05,6.464796851168274e-05,,,3584.7719839048527,,,3587.6661739630017,,,3566.128159609587,,,3565.915045618525,36.62142938025236,False,True,False
10336910,3,2,False,False,58,18,17,2,1,3,0,132.4121673892427,102.4759089028913,3.8745259401428105,0.006682827167522194,940552604.3235406,0.0004857245792152046,0.7964767105622279,131.82912875024826,3.0123764982459283e-07,0.2590119082604063,131.51216738924268,142.1175749488757,0.00032415004237436974,0.00043043347602985115,,,3504.7012743300043,,,3504.153347469529,,,3486.057450034737,,,3482.4022191250515,1076.0605286786745,False,True,False
10396224,1,0,False,True,40,24,12,4,5,3,18,511.2094764103463,46.121191602337774,1.7698830697340184,0.001321091643069205,1218990051.0683205,0.009288222103224176,0.8377910235034141,511.6490300651506,0.00010626049862172415,0.3985706341450428,505.8559676890072,516.5839533160761,0.00023434507314290653,0.00010473005850433248,3621.6401181264564,,3616.6390882598307,,3618.2454553123457,3622.0170610492482,3609.2109019296117,,3597.9952639645644,,3587.172414820235,3600.2659327047704,2.2051484282295646,False,True,False
10258383,1,0,False,False,73,9,22,1,2,0,3,184.32159001171533,136.960053682057,5.00099437513246,0.024596305696589927,217530716.0148584,0.02057670934385786,1.043108186221423,183.570987531373,0.0005513596365869233,0.11441064607356335,183.7215900117153,195.10319689985766,0.0006836018877656728,0.0004651093197579,,,2830.1556930496254,,,2829.6879292998165,,,2811.5118687543586,,,2807.936800955338,1.2391639357328108,False,True,False
10271691,1,0,False,True,18,18,7,2,16,2,89,1535.743585397009,66.05557688098139,2.526976765464384,0.003271320333422102,407730567.2026925,0.014506737850939647,2.351390675841396,1535.6896933948788,0.00027043525118664036,0.22291034784295424,1530.4755483414194,1541.0194312822061,0.0003388233289633312,3.3131996284882364e-05,,,3282.917563157896,,,3284.7451305597588,,,3264.2737388626288,,,3262.994002215281,1.2525426981317613,False,True,False
10358432,2,0,False,False,52,36,15,4,10,0,33,968.5531703731856,86.16166705780157,2.9501948938282214,0.0021766240206750084,4044262974.32414,0.014106849522488816,1.941298116822244,969.2814743463997,0.00022686916434622173,0.5750821230917597,957.9101337823233,969.2099746614548,0.00034746446497855687,0.000186841275365906,,,3773.8218731928364,,,3775.478371290349,,,3755.178048897569,,,3753.727242945871,1.5312157428129238,False,True,False
10358432,2,1,False,False,52,36,15,4,6,0,21,567.7033497594136,68.30918679796814,2.558978867753769,0.0042109983117903475,3638083848.0955796,0.011079805104437531,1.7471567072123546,567.1633497594138,0.00016061727017169236,0.00010134600839696585,567.4033497594138,577.9268315092922,6.863606821151899e-05,0.00010029886435170118,3721.5386662373244,,3713.1259693045795,,3735.7477679657723,3730.324350273672,3709.1094500404797,,3694.4821450093127,,3704.674727473661,3708.5732219291936,0.4272581896096887,True,True,False
10222667,2,0,False,False,34,34,11,2,4,2,14,396.1640772440075,130.58673014565687,5.067390166156153,0.002525387274563673,6901129326.391197,0.012494112710303141,2.15346443603514,396.4771149243004,0.00020159405582820256,0.1904583405688633,385.744405635327,396.8192820779585,0.00045116377885628223,0.00013512104062467987,,,3998.111819320303,,,3998.485808229358,,,3979.467995025036,,,3976.73467988488,2.237530392784308,False,True,False
10222667,2,1,False,False,50,34,15,2,14,0,52,1370.79863162784,111.53973647725338,2.4352372176074524,0.002277299807565563,7590553283.341021,0.008261187078763752,0.6002241211133055,1371.2956540189293,8.80677208530134e-05,0.19603908313959395,1359.9411315172692,1371.3224738798524,0.00011350792774313315,7.784243046513365e-05,3996.2270559302583,,3986.956791861534,,3992.8915712005296,3996.55533206604,3983.7978397334136,,3968.312967566267,,3961.8185307084186,3974.804203721562,1.2887574500544658,False,True,False
10189674,1,0,False,False,73,9,22,1,14,0,66,1370.7982352208635,92.66873511930751,3.5286824524317337,0.0021625126232895143,5810370038.994579,0.0017661165900546593,1.3068156970896003,1371.0760463361785,4.0810876811292465e-06,0.0,1360.369542322107,1371.321678498709,0.0006974759399807549,2.1440898008188685e-05,,,3980.0203426672947,,,3979.503488281152,,,3961.3765183720284,,,3957.752359936675,170.90372665732482,False,True,False
10197310,1,0,False,True,63,23,18,3,14,0,65,1325.5301227770162,36.31700409476,1.1257589990584298,0.0005788506574710932,3936289177.656392,0.022292938311362115,0.7684660265931662,1325.5781452695778,0.0006501804311693782,0.0,1319.8707257078274,1331.170501102766,0.0002650467367709066,7.363191197535728e-05,3880.071339397508,3886.193367794679,3909.1899422200877,3952.153382370495,3888.2434310993813,3952.752389304831,3867.642123200664,3870.6568475486242,3890.5461179248214,3933.509558075228,3857.1703906072694,3931.0012609603527,0.40738600528613966,True,True,False
10279858,1,0,False,True,23,39,8,3,15,1,69,1450.0580788486675,34.39780096851001,1.1440883743389458,0.0013909760501630483,611536036.5329013,0.004935369941257842,0.9094341762755724,1449.6467641099787,2.8774063219771943e-05,0.5058130401272257,1444.8398563901285,1455.2810363032256,5.221911720912141e-05,1.900659803752041e-05,3416.194127339173,,3411.513033631203,,3423.097308211964,3416.177194070788,3403.7649111423293,,3392.8692093359364,,3392.024267719853,3394.4260657263103,1.8147459486034807,False,True,False
10273000,1,0,False,False,18,18,7,2,16,2,83,1557.49357125908,77.9646684523229,3.0534857912683755,0.004426515300250689,981581483.4948908,0.031741444122093745,2.4,1557.657916738948,0.0013179939537414365,0.0,1547.1291659119668,1557.9592190722544,0.00012224987521611258,0.00011086830969730043,,,3286.316111039406,,,3284.6461509071837,,,3267.6722867441395,,,3262.8950225627063,0.09263225394407494,True,True,False
10213566,1,0,False,True,47,39,14,3,14,0,65,1347.5485890554412,89.26517199005708,3.129518000989889,0.0035463685269285774,633572749.438447,0.011784713741496365,0.7912547661365925,1347.586157814846,0.0001727109144213923,0.3675280951497224,1342.0004774668926,1353.1162829325622,0.00016605535086498618,8.721350119596462e-05,,,3430.0598876375234,,,3431.087699477646,,,3411.4160633422557,,,3409.3365711331676,0.9612980850093242,False,True,False
10266153,3,0,False,False,24,24,8,4,16,2,74,1557.19365958839,160.0836216977091,6.278319124474481,0.0028035660297143373,7068123193.606361,0.0005952672540377651,0.9381239388629706,1557.7132481806336,4.5753924016178615e-07,0.19169815416584568,1546.8636657067254,1557.9593815320475,0.00022461277070714316,4.694473428032665e-05,,,3800.7171131047694,,,3799.73705844358,,,3782.073288809503,,,3777.985930099103,490.914545075005,False,True,False
