##
## Kepler Eclipsing Binary Catalog
## Revision Date (Y/M/D): June 28, 2016, 4:08 p.m.
## Download Date (Y/M/D): 2016/06/29
##
## Query String: {&quot;sort&quot;:&quot;p&quot;,&quot;kics&quot;:[],&quot;campaign&quot;:[&quot;-2&quot;],&quot;etvlong&quot;:true,&quot;cols&quot;:[&quot;etv&quot;,&quot;glon&quot;,&quot;scdata&quot;,&quot;bjd0&quot;,&quot;morph&quot;,&quot;glat&quot;,&quot;kic&quot;,&quot;lcdata&quot;,&quot;keff&quot;,&quot;p&quot;,&quot;figs&quot;,&quot;bjd0err&quot;,&quot;perr&quot;,&quot;kmag&quot;],&quot;etvshort&quot;:true,&quot;incat1&quot;:true,&quot;incat0&quot;:true,&quot;kois&quot;:[]}
##
#KIC,period,period_err,bjd0,bjd0_err,morph,GLon,GLat,kmag,Teff,SC,ETV,
9895668,0.0408760,-1,55000,-1,-1.00,79.3636,12.4490,15.0350,-1.0000,False,short,
10925113,0.0418300,0.0000000,54997.432774,0.000502,-1.00,80.9443,13.0134,15.0050,4905.0000,False,short,
12110786,0.0422200,-1,54984.677006,-1,-1.00,82.3814,15.5296,13.8230,5808.0000,False,short,
10341831,0.0427800,0.0000000,55010.464025,0.001892,-1.00,79.7338,13.4713,14.9600,3851.0000,False,short,
4568298,0.0433000,0.0000000,55002.020000,0.000238,-1.00,72.8815,9.4582,15.9450,5579.0000,False,short,
9474493,0.0435100,-1,55004.108116,-1,-1.00,79.2409,11.1378,15.3380,5384.0000,False,short,
8832512,0.0471500,-1,55060.560231,-1,-1.00,78.8040,9.8844,14.9430,5326.0000,False,short,
4844004,0.0473900,-1,55001.558584,-1,-1.00,73.3589,9.1888,15.4790,5262.0000,False,short,
3448130,0.0477000,-1,55098.773663,-1,-1.00,71.4867,9.5750,14.0870,5764.0000,False,short,
9159242,0.0480900,-1,55002.020000,-1,-1.00,78.2083,12.0238,14.0280,5347.0000,False,short,
4861791,0.0489900,0.0000000,55005.063077,0.000318,-1.00,74.7546,6.5303,15.9570,5605.0000,False,short,
12647070,0.0510950,-1,55002.029483,-1,-1.00,83.0797,16.5528,10.6870,7275.0000,True,short,
8872048,0.0520500,-1,55060.560231,-1,-1.00,75.5846,16.7393,15.4840,5110.0000,False,short,
5530882,0.0532800,0.0000000,54975.413303,0.000430,-1.00,72.9520,11.7260,14.4450,5479.0000,False,short,
7595579,0.0565500,-1,55002.036550,-1,-1.00,74.1596,15.0804,13.5780,-1.0000,False,short,
