kicid,n
2158850,1
3558849,1
5010054,1
5536555,1
5951458,1
8410697,1
8510748,1
8540376,1
9704149,1
9838291,1
10024862,1
10403228,1
10842718,1
10960865,1
11558724,1
12066509,1
3756801,2
5010054,2
5522786,2
5732155,2
6191521,2
8540376,2
8636333,2
9662267,2
9663113,2
10255705,2
10460629,2
10525077,2
10525077,2
12356617,2
12454613,2
